Title,Original,Generated
They Drive by Night,No picture in 1940 will have bigger thrills!,It's not about the money.
Little Dieter Needs to Fly,"In 1966, Dieter Dengler was shot down over Laos, captured, and, down to 85 pounds, escaped.",The story of a man who risked everything to save the lives of so many.
Incognito,Harry Donovan is a master in the art of deception... trapped in a lie so perfect even the truth can't save him.,It's all about the money.
Tunes of Glory,Here's a Helluva Swelluva Free-Swinging Movie!,It's a battle of the sexes!
"Lock, Stock and Two Smoking Barrels",A Disgrace to Criminals Everywhere.,It's not poker.
Science Fiction,In every child there is a doubt...,How far would you go to find out who you really are?
9,When our world ended their mission began.,Welcome to the future
Glen Campbell: I'll Be Me,His music is legendary. His story is human.,The story of Glen Campbell
I Smile Back,"Love desperately, live recklessly.",Love is the most dangerous thing in the world.
The Beautiful Beast,Romance,The Beast is back!
The Longest Yard,"If you can't get out, get even.",It's not about winning.
Cabin Fever,You can't run from what's inside.,It's not just a party.
Transformers: Revenge of the Fallen,Revenge is coming.,The Autobots are back.
Plunkett & MacLeane,They Robbed The Rich...And That's It,A comedy about a gentleman's agreement
Sympathy for Mr. Vengeance,Revenge Was Never This Sweet,Revenge is the only way out.
Monkey King: Hero Is Back,Monkey King Hero Is Back,The Monkey King is back!
Gravy,You are what you eat,You can't go wrong with this one.
Out of the Blue,A harrowing drama from the director of Easy Rider,The story of a man who lost everything
Scarface,The rise and fall of a power hungry mobster.,It's all about the money.
Expect No Mercy,Where Virtual Reality Begins...,The Ultimate Force Unleashed
The Tattooist,Evil in ink.,It's not just a tattoo.
Greyfriars Bobby: The True Story of a Dog,The true story of a dog,The story of an orphaned boy and his dog.
Please Murder Me,THE DEADLIEST PACT EVER MADE!,It's not a case of innocence.
Beatriz at Dinner,"She was invited, but she's not welcome.",A comedy about friendship.
Lesbian Vampire Killers,"After Twilight, The Real Party Starts.",It's time for a new adventure.
The Witches of Eastwick,Three Beautiful Women. One Lucky Devil.,Three women.
Stick It,The world of competitive gymnastics is about to be turned on its head.,She's a gymnast.
Long Night's Journey Into Day,Looking into a dark past for a bright future.,The story behind Apartheid
Breaking the Girls,Seduction. Betrayal. Murder. What are best frirnds for?,It's not what you think it is.
Coogan's Bluff,"Before ""Dirty Harry""... there was Coogan.",The manhunt for the man who killed his wife!
Four Wives,"The ""Four Daughters"" are now ""Four Wives"" It's a four belle picture! For these four wedding belles!",Four daughters.
Smart Girls Don't Talk,THE SCANDAL SQUAD USES BLONDE BAIT TO TRAP A 3-TIME KILLER!,She's the only one who can stop him.
Over the Top,Some fight for money... Some fight for glory... He's fighting for his son's love.,He's a tough guy.
The Peanut Butter Solution,A hair-raising comedy aventure,You can't make peanut butter without peanut butter.
Why We Fight: Prelude to War,The US government puts the finger on the United Nations.,Why we fight propaganda
Girl Rising,One Girl with Courage is a Revolution,Every generation has a story to tell.
King of the Zombies,HUMAN SACRIFICES! SAVAGE TORTURE! VOODOO RITES!,It's not just a house.
That was Then... This is Now,Life as a teenager isn't always easy.,Sometimes you have to take a stand.
Dead Kids,Town population is down... about six feet,Evil is coming to town.
TerrorVision,"People of Earth, your planet is about to be destroyed...  We're terribly sorry for the inconvenience.",They're coming for you.
The Giants,Freedom is the greatest adventure,It's not just a house.
Cleopatra Wong,"She purrs like a kitten..makes love like a siren. This side of the pacific, she is the meanest, deadliest and sexiest secret agent.",It's not just a fight.
If Lucy Fell,A comedy for the romantically challenged.,"A romantic comedy about love, friendship, and the bridge."
Sultan,Wrestling is not a sport. Its about fighting what lies within.,"The story of a man who fought for his country, his family, and his country's future."
Tillie's Punctured Romance,The WORLD'S OUTSTANDING COMEDIANS IN THE FUNNIEST COMEDY OF ALL TIME,A true story.
Shuttlecock Boys,"'A Journey of Dreams'- Courage, Determination, Destiny",A comedy about life and love.
This Property Is Condemned,It's all prime property!,A love story that will change your life forever.
Best Men,"A comedy thriller about four men, a wedding and everybody's funeral.","Four men, four tuxedos, four bank robbers."
Night Court,Its Frankness Will Thrill You---Its Truth Hold You Breathless---,He's got a plan.
Harry Potter and the Deathly Hallows: Part 2,It all ends here.,Harry Potter and the Order of the Phoenix
Carry On Don't Lose Your Head,"Carry On laughing until you have hysterics, but...Don't Lose Your Head!",The true story of a man who risked everything to save the revolution.
Swing Fever,Dance! Sing! It's So JOYOUS!,It's all about the power of the mind.
Hardball,The most important thing in life is showing up,It's not about the money.
The Other,Niles and Holland are as close as twin brothers can be. Appearances can be deceiving... and deadly.,The story of a twin brother.
Just Ask My Children,A family torn apart by a system out of control,The truth is stranger than fiction.
The Guyver,Lost for centuries...only one man can activate it!,It's not what you think it is.
Taxi Zum Klo,A lost gay classic,Sometimes you have to make a choice.
Rise of the Animals,Bambi doesn't want a fucking salad.,The world is about to change.
Lust for Gold,Ruthless Fortune Seekers Who Will Stop at Nothing...,The story of a man and a woman.
The Canal,Fear will pull you under,There is no such thing as a dead house.
Sauna,Cleanse Your Sins,The battle of the sexes has just begun.
The Net,"The Unabomber, LSD and the Internet",The story of the man who invented the Internet.
Date Movie,An Unprotected Comedy,"A romantic comedy about a man, his crush, his parents, and their father."
Operator,How can she help you?,You can't have it both ways.
Inside,Terror comes calling.,It's not what you think.
Knights of Badassdom,'Tis about to get medieval up in here.,It's not a game.
Texas Across the River,A Swinging Fun-Romp that Fractures the Frontier!,The story of a man who risked everything to save a girl's life.
Lockout,Take no prisoners.,Lockout is the story of a man who risked everything to save the President of the United States.
Black Mass,Keep your enemies close.,The story of a man who changed the face of crime forever.
Freaky Deaky,Crime is such a trippy thing,They made a bomb.
Ants in the Pants 2,"Hey girls, I am back",They're back!
The Good Doctor,Do no harm.,Love is the most powerful force in the universe.
Capone,The Man Who Made the Twenties Roar,The Story of the Rise and Fall of the Famous Chicago Gangster
Rings,The circle of fear is growing.,It's not just a video.
"Houston, We Have a Problem!",Yugoslav Space Program: Myth Or Reality?,"The Cold War, The Space Race, And NASA's Moon Landing"
Paranormal Activity 4,It's closer than you think,Sometimes the only way out is to stay alive.
Noise,What would you do for a good night's sleep?,You can't escape your own demons.
King Solomon's Mines,Lovers trapped in animal stampede !,The adventure of a lifetime.
Güeros,Being young and not being revolutionary is a contradiction.,The story of two brothers.
Hard,A cop with a secret. A killer who knows it. The game is on.,"The story of a serial killer, a gay detective, and a closeted lesbian."
Across the Wide Missouri,The big M-G-M Pictures!,It's a race against time.
A Walk in the Woods,"When you push yourself to the edge, the real fun begins.",It's not going to be easy.
Eegah,The Crazed Love Of A Prehistoric Giant For A Ravishing Teen-Age Girl!,He's back!
Dead Man's Shoes,He's in all of us.,Revenge is the only way out.
The Restless,"Between heaven and earth, where love became a legend.",The battle for the soul of a king is about to begin.
"Daddy, I'm A Zombie",13 Going On Eternity,You can't kill her.
Girl on a Bicycle,Some distractions are better than others.,"A comedy about love, marriage, and the bicycle."
Mother Carey's Chickens,Kate Douglas Wiggin's Memorable Novel,Summer Magic
The Fate of the Furious,Family no more,It's not what you think.
Lumberjack Man,Welcome to Summer Camp.,Evil is coming to town.
Homecoming,A girl never forgets her first love...,She's back.
Operation Mad Ball,It's Operation Laughter For You! and anything goes!,The funniest movie of the year!
Art and Craft,He puts the artist in con artist.,The man who created the world's greatest art.
Nightmare,Beware ! These are the eyes of a hypnotist !,He was hypnotized to commit murder.
The Beautiful Country,An epic story of hope.,The story of a man who risked everything to make America great again.
Cross of Iron,"Captain Stransky, you are the rest of my platoon",The story of a man who risked everything to win the heart of a nation.
Wonderland,"Sex, drugs, murder. Welcome to L.A.",The truth is stranger than fiction.
U-571,Heroes are ordinary men who do extraordinary things in extraordinary times.,The battle is on.
The Brasher Doubloon,Some women can't stand cats ... with me it's men!,It's not just a mystery.
From Above,A love story for the ages...an inspiring tale for everyone.,Two Souls.
Tickled,The hunt for the truth in competitive tickling,It's not just a tickling contest.
Barfly,Some people never go crazy. What truly horrible lives they must lead.,"A comedy about love, sex, and love at the same time."
Gag,Dying is Easy...Staying Alive is Torture,It's not what you think.
Little Forest: Summer/Autumn,Back to nature.,The story of Ichiko Ichiko
The Devil Came on Horseback,A witness to evil. A force for peace. An unbelievable true story.,The truth is out there.
Blown Away,She'll charm you. Seduce you. She might even kill you.,"A story of love, lust, and revenge."
Any Questions for Ben?,"When life is perfect, what's to question?",Sometimes you have to change your life to fit in.
Underground,The Film The FBI Didn't Want You To See,The story of the Weathermans
"Unman, Wittering and Zigo",if you're curious about terror…,Every teacher has a dark secret.
Edge of Winter,Nothing is more dangerous than a father's love.,Sometimes the only way out is to stay alive.
P.O. Box Tinto Brass,A sensational collection of real-life sexual fantasies from the Master of Erotica.,A film about dreams
Cinderella,The version children love!,Cinderella is back!
Shakma,The world's most aggressive primate just got mad,It's not just a game.
For Pete's Sake,Zany Barbra!,It's not just about money.
Attack,"The Story of the ""Fragile Fox"" Company!",It's not just a war.
Megaville,Big city. Big bucks. Big trouble.,The future is about to collide with the past.
Dante's Hell Animated,The real epic animation as written by Dante Alighieri,The story of Dante's Inferno
Under the Rainbow,Who knew so many little people would throw such a huge party?,The Hotel Rainbow is back!
Boy Wonder,Beware the Hero,The story of a boy who discovers the meaning of life.
The Rains of Ranchipur,Theirs was the great sin that even the great rains could not wash away!,An epic tale of love and death
Duel in the Sun,Emotions . . . As Violent As The Wind-Swept Prairie !,A love story that will change your life forever.
Eaters,Prepare to meet a new breed of killers,Fear is the only weapon they have.
Little Black Book,Have you ever been tempted to look inside his...,She's a snoop.
Isn't She Great,Talent Isn't Everything...,The story of a woman who became a writer.
Alléluia,"Fervidly dark lovesick horror inspired by the real-life criminal duo, the Lonely Hearts Killers.",It's not what you think.
Soldier Blue,The most savage film in history!,The true story of a true hero.
Chicken Little,"When it comes to saving the world, it helps to be a little chicken.",The world's greatest hero is the chicken.
Frontier(s),What are your boundaries...,They're Back!
Body and Soul,"He's a boxer. She's a knockout. Together, they score.",A love story that will change your life forever.
The Killing of Sister George,The story of three consenting adults in the privacy of their own home.,"A comedy about love, sex and murder."
Dolan's Cadillac,An eight-cylinder fuel-injected coffin.,It's not murder.
Little Nikita,He went to bed an all-American kid and woke up the son of Russian spies.,He's a spy.
Ladder 49,Their greatest challenge lies in rescuing one of their own,It's not just a job.
Role Models,They're about to get more than they plea-bargained for.,It's not about the money.
Chatroom,Control. Alter. Delete.,It's not what you think.
Border Radio,Jeff Bailey. His wife wants him back. His band wants him on stage. Some thugs want his head. ...He wants another beer.,The story of Allison Anders
Guess Who,His house. His rules. Some in-laws were made to be broken.,A love story that will change your life forever.
The Secret Garden,"The timeless tale of a special place where magic, hope and love grow.",A story of love and death.
Treasure Island,"PIRATE'S PLUNDER a young cabin boy, a roguish buccaneer... match wits in a swashbuckling adventure!",The greatest adventure of all time!
Shark!,A realistic film became too real! Shark will rip you apart!,It's not just a gun.
The Pit and the Pendulum,A bizarre descent into hell from the creator of Re-Animator.,Torture is torture
Bluebeard,"He had a WAY with the world's most beautiful, most seductive, most glamorous women ...he did AWAY with them.",The most beautiful woman in the world is waiting for you.
About Schmidt,Schmidt Happens,Sometimes you have to make a choice.
The Machine,Love is the fuel,The future is in your hands.
Noah's Ark,It was the end of the world... And the beginning of hope.,The Ark of the Covenant
I'm with Lucy,Five handsome bachelors. One lucky woman.,Five men.
Space Truckers,Earth's Only Hope,They're coming for you.
Amsterdam Heavy,Revenge means never having to say you're sorry,It's not just a movie.
The Road Builder,"A lonely woman in a decaying mansion... A young stranger on a big, black bike.","A story of love, friendship, and adventure."
I See a Dark Stranger,The woman hunt is on... For the girl with the little black book.,The story of a woman who risked everything to become a spy.
The Card Player,A serial killer with a vice for Video Poker,It's not a game.
National Lampoon's Loaded Weapon 1,See it before they make the sequel!,It's not just a movie.
The Big Hit,Nothing's more dangerous than some nice guys... with a little time to kill.,He's a hit man.
Deconstructing Harry,Harry Block has written a best seller... bout his best friends... he revealed their deepest secrets... and they're not pleased... now Harry Block is going to Hell...,The story of the man who drew the line between fiction and reality.
Big Leaguer,"Packed with thrills, laughs, heart-throbs, excitement. All the way!",He's the best in the business.
The Velveteen Rabbit,All You Need to Do is Believe.,He's the only one who can save the world.
Night Sights,There is no way back for Lost Souls,A journey into the afterlife
Taste of Cherry,Searching for the Reason to Live,You can't kill yourself.
Breast Men,Two young doctors with a dream of making it big... Really big!,The story of the invention of the breast implant.
Little Fauss and Big Halsy,Little Fauss and Big Halsy are not your father's heroes,The funniest thing about being alive is knowing you can do it again.
Kalifornia,Fear never travels alone.,The truth is stranger than fiction.
24 Hour Party People,Share the Ecstacy!,The story of a man who changed the face of music forever.
Sleepover,The rules are set. The game is on.,It's not just a party.
Firestarter,Will she have the power... to survive?,You can't escape your past.
Intimate Affairs,He uncovered their secrets.,How far would you go to find the truth?
Ten Years,"Five Hong Kong Stories, One Undesirable Future",The story of five Hong Kongers.
China Blue,"""Usually I pay the workers all together about one dollar for a pair of jeans.""",The story of a girl who left her rural home to find work in a factory in China.
The Beastmaster,"Born with the courage of an eagle, the strength of a black tiger, and the power of a god.",The story of a man who became a man.
Springsteen & I,A documentary project on Bruce Springsteen made by the people and for the people!,The story of a man who changed the face of music forever.
Like Water for Chocolate,"In Tita's kitchen, ordinary spices become a recipe for passion.",Love is contagious.
Hot Rod,Smack destiny in the face.,It's not about the money.
The Poker Club,The hand you're dealt could be murder.,It's not a game.
Before the Fall,Men make history. We make the men.,The story of a man who fought for freedom and justice.
Griff the Invisible,"He's a dreamer, stuck in the real world.",Every dream has a price.
Tom and Huck,The Original Bad Boys.,Tom Sawyer is back!
The Curse of Frankenstein,The creature created by man and forgotten by nature!,The most terrifying monster you've ever seen!
The Dark Tower,There are other worlds than these,The ultimate battle of the ages.
Staying Alive,Tony Manero knows the old days are over – But nobody's gonna tell him he can't feel that good again,He's got it all.
WolfCop,Here Comes The Fuzz,One cop's journey to becoming a better cop.
Family Band: The Cowsills Story,Talent and charm. Secrets and fear.,The Cowsill is Back
EuroTrip,No actual Europeans were harmed in the making of this film.,A trip that will change your life forever.
The One And Only,She'll go from riches to rags to find the one and only.,A comedy about love
Star Trek: Nemesis,A generation's final journey... begins.,The only thing more dangerous than being human is knowing who you really are.
Trapped,It was the perfect plan until she refused to be the perfect victim!,It's not a game.
You Should Meet My Son,"'He's a Catch!""",Love is the most important thing in the world.
The Room,Can you ever really trust anyone?,"A comedy about love, money, and friendship."
V for Vendetta,People should not be afraid of their governments. Governments should be afraid of their people.,The world's most feared vigilante.
Special Correspondents,Fake news. Real disaster.,The truth is stranger than fiction.
The Limits of Control,"For every way in, there is another way out.",You can't escape your past.
Zid,Come Play With Fire,A love story that will change your life forever.
Futurama: Into the Wild Green Yonder,All the other galaxies will be green with envy!,They're coming for you.
Terminator Genisys,Reset the future,The future is here.
Heroine,Unlock Your Mind This summer,It's not easy being a star.
Jurassic Park III,"This time, it's not just a walk in the park!",It's not what you think it is.
Day Watch,The second chapter in the epic fantasy trilogy,The battle for the future begins.
The Heart Is a Lonely Hunter,"...and from this man who could not speak or hear, the girl heard many things.","A comedy about love, friendship, and the power of music."
Charlie Countryman,"The only way to save the one you love, is to die.",
Free Fire,All guns. No control.,The story of the gun sale that went wrong.
Some Kind of Hero,Richard Pryor is in a new kind of comedy...about some kind of hero...in some kind of mess.,It's not easy being a hero.
Cake,Have your life and eat it too.,A love story that will change your life forever.
Kinyarwanda,Forgiveness is Freedom,A story of love and war.
Sex and the Single Girl,She wrote the book on love!,She's got a lot on her mind.
The Last Detail,No *#@!!* Navy's going to give some poor **!!@* kid eight years in the #@!* brig without me taking him out for the time of his *#@!!* life.,They're going to do anything to get him out.
But Forever in My Mind,"Politics, Italy, Love, Kiss",It's a kiss that will change your life forever.
Comic Book Villains,Obsession. Betrayal. Revenge. And other funny business.,One man's comic book.
Gigli,Life doesn't play by the rules.,It's Gigli vs.
Ricochet,He's a cop accused of murder. And the only man who knows he's innocent is the killer who framed him.,A cop is a cop.
This Land Is Mine,A soft-spoken school teacher tries to prove he's not a Nazi collaborator.,It's not murder.
The Naked Edge,ONLY THE MAN WHO WROTE PSYCHO COULD JOLT YOU LIKE THIS,The story of one man's search for the truth.
The Times of Harvey Milk,"He was powerful, charismatic, compassionate and gay. After eleven months in office he was assassinated.",The story of a man who changed the face of the world.
My 5 Wives,Never has one man had to do so much with so little.,You can't have it both ways.
Scream Blacula Scream,The black prince of shadows stalks the earth again!,He's a vampire.
The Condemned,"If You've Killed Once, You'll Kill Again",No one is safe.
Azhar,Love him. Hate him. Judge him.,The story of one of the greatest cricketers of all time.
Killing Emmett Young,"In order to avoid the debilitating effects of a terminal illness, a young detective orders a hit on himself.",He's a cop.
Victim,BREAK THE CIRCLE...OR MAKE THE ULTIMATE SACRIFICE,A love story that will change your life forever.
By Dawn's Early Light,Four people... Three minutes... Two choices... One chance for survival.,It's not just a drill.
Common Wealth,Love Thy Neighbor's... Money,It's not just a house.
Where Danger Lives,Mitchum! Action!,A comedy about love and death.
Only the Lonely,"The Man, The Woman, The Mother.",A comedy about love and family.
Cradle 2 the Grave,Mortal enemies make dangerous friends.,Revenge is the only way out.
Gorgo,Like nothing you've ever seen before!,You'll never take a child from your mother.
Ceremony,He's the love of her life. She just doesn't know it yet.,Love can be complicated.
Glory Daze,True or False.,A comedy about life and death.
Mourning Son,Sometimes the only way around fear is to walk right through it.,"A story of love, loss and redemption."
Phantom Boy,My name is Leo and I have a secret,You can't leave your body.
Tokyo Decadence,Erotic sex or dangerous fantasy?,She's a hooker.
Bats,They will suck you dry,They're coming for you.
Stark Raving Mad,Blood Money. Deadly Heist. Some things can make a guy crazy.,Revenge is the only weapon he has.
King Cobra,It moves without sound... thirty feet of pure venom,Fear is the most powerful weapon in the world.
And Now for Something Completely Different,If the Motion Picture Industry dies... Monty Python killed it!,The funniest comedy of all time.
Mixed Blood,Drugs. Sex. Murder. All in a day's work for the kids of mixed blood,It's not just a street fight.
The Pied Piper,"Come children of the universe, let Donovan take you away, far far away.",The Black Death is coming.
Raising Helen,Her uptown life gets turned inside out!,Life is a choice.
The Final Countdown,"Trapped outside the boundaries of time and space... 102 aircraft... 6,000 men... all missing.",The most powerful warplane in the world!
Bloodbath at the House of Death,The movie that took a lot of guts to make,It's not just a house.
Money Train,"Get on, or GET OUT THE WAY!",A cop with no respect for the law.
An Everlasting Piece,Piece on Earth.,"A comedy about love, sex and money."
Balibo,"East Timor, 1975: Five Journalists Are Missing. One Man Searches For The Truth. One Man Fights For Justice.",The story of a man who risked everything to expose the truth.
Beyond Tomorrow,Is there a better time to fall in love?,They're back.
To Steal from a Thief,Who can you trust?,It's not a robbery.
Full Frontal,Everybody Needs A Release,How far would you go to get what you want?
Grip of the Strangler,KING OF THE MONSTERS! KARLOFF IN HIS NEW HORROR HIT!,You can't escape your past.
TiMER,You can't hurry love.,Every TiMER has a price.
The Club,In this club nobody plays by the rules.,It's not about the rules.
Topper Returns,Topper's having girl trouble again!,She's back!
The Magic Flute,"We only see Bergman, we only hear Mozart",The true story of the true love of Mozart.
Kuffs,When you have attitude who needs experience?,"He's a cop, he's a killer, and he's got a killer in him."
I'm Not Ashamed,Her faith would touch the world.,The story of a young woman who risked her life to save the lives of so many.
Sherlock Holmes Faces Death,THEIR NEWEST AND GREATEST ADVENTURE!,Holmes is back.
"The Long, Hot Summer",The red-hot lowdown on a southern family...that people talked about in whispers!,He's a man of many talents.
One Crazy Summer,"They're out of school, out on Nantucket, and out of their minds. With this crowd, anything can happen!",It's not about the money.
Bowery to Bagdad,Abracadabra!...They're Insultin' The Sultan's Babes!,It's not just a lamp.
7 Faces of Dr. Lao,Bolt the doors!  Lock the windows!,The story of a man who changed the face of the world.
3 Ninjas Kick Back,"Colt, Rocky and Tum Tum are back for bigger kicks in an all new adventure",Three brothers.
One A.M.,An inspiring and fantastic one-man show!,Sometimes you just have to stay home.
The 5th Wave,Protect Your Own,Survival is the only way out.
Night of the Living Dead,There IS a fate worse than death.,The Walking Dead is Back
The Tender Trap,TENDER TRAP: What every girl sets for every man,"A comedy about love, sex, and love at the same time."
Primeval,Inspired by the true story of the most prolific serial killer in history.,It's not just a game.
Here Comes the Boom,No one will fight for his students like Mr. Voss.,It's not just a fight.
Prancer,They lost the true spirit of Christmas...And found it locked in the heart of one little girl.,"It's Christmas Eve, and there's only one thing left to do before Christmas."
51 Degrees North,Life before the apocalypse,There is no such thing as an Earth without a Plan B.
Dead Daughters,Be Good Or Die,Three little girls.
I Saw What You Did,You May Be the Target... of the Next Phone Call...,It's not just a prank call.
Absolution,"One man, two boys... one deadly game.",It's not just a prank.
Diving In,A last chance to win... A first chance to love.,It's not just a sport.
Red River,Big as the men who faced this challenge! Bold as the women who loved them!,The story of a man who defied the law and defied the will of God.
G.B.F.,Being out has never been so in.,Every girl has a story to tell.
Mary Poppins,It's supercalifragilisticexpialidocious!,She's a Super-Nanny
12 Rounds 2: Reloaded,Are you ready for another 12 Rounds?,It's not just a game.
The Hidden Face,There are doors that should never be opened.,She's gone.
Gates of Heaven,Death is for the living and not for the dead so much.,It's not just a cemetery.
The Bronze,There's no place like third.,Hope is back.
Let's Be Cops,Fake Cops. Real Trouble.,They're cops.
SpaceCamp,The stars belong to a new generation.,It's not rocket science.
Meet the Fokkens,They're up to their old tricks,"A story of love, sex, and prostitution."
Double Take,One big shot. One big mouth. The switch is on.,The only thing more dangerous than a bullet is a bullet that kills.
The Private Lives of Elizabeth and Essex,Elizabeth I's love for the Earl of Essex threatens to destroy her kingdom.,The story of a woman who rose to the top of the English throne.
There's Always A Woman,WATCH PUBLIC GOLD DIGGER NO. 1 ROUGH UP THE SCREEN'S SMOOTHEST LOVER!,It's not just a case.
The Good Humor Man,Following in the fun-packed footsteps of The Fuller Brush Man!,The story of a man and a woman.
Pepe,A New Excitement in Screen Entertainment!,He's back in action again!
Super Inframan,The man beyond bionics.,The world is about to be destroyed.
Team America: World Police,Putting The 'F' back in 'Freedom',The world is about to be destroyed.
Stuck in Love,A story about first loves and second chances.,A story about love.
Arabesque,Ultra Mod. Ultra Mad. Ultra Mystery.,The story of the world's most dangerous secrets.
A Marine Story,Every fight is personal,She's a Marine.
The Fearless Vampire Killers,Who says Vampires are no laughing matter?,It's not what you think.
Broadway Melody of 1940,Eleanor Powell - Fred Astaire - In The Finest Broadway Melody Of Them All,"A comedy about love, money, and love at the same time."
Friday After Next,The party's back in the 'hood!,They're back.
Landline,1995. When people were harder to reach.,The story of a girl who was raised by her father.
Action in the North Atlantic,Warner Bros. thunderous story of the men of the merchant marine!,The most dangerous ship in the world!
The Wages of Fear,Dynamic Tremendous Shattering,The only thing worse than death is death itself.
From Prada to Nada,A riches to rags story.,"A story of love, loss and redemption."
Private Parts,Never before has a man done so much with so little.,The story of a man who changed the face of the radio.
1990: The Bronx Warriors,The first to die were the lucky ones!,It's not just a city.
Bullet Scars,Death To The Last Of Gangdom's KILLERS!,It's not what you think it is.
The Apple Dumpling Gang Rides Again,"As belles, they were ding-dongs... they enlisted, and were rotten to the corps... and when things got hotter... they went to the cooler... now, they're on the loose again!",They're back for more!
Intruder,A new dimension in terror.,You can't run from it.
The Deep End of the Ocean,The search for her son was over. The search for her family was just beginning.,It's not what you think it is.
Submarine Command,Drama War,The most dangerous submarine in the world.
Stasis,Their war. Our time.,A Time Traveling Ghost
Bubblegum and Broken Fingers,"Girls, Guns and Crime",It's not what you think it is.
The Prince & Me,Finding your inner princess can be such a royal pain.,A love story about love and rebellion.
A.C.O.D.,He's About To Ruin A Perfectly Good Divorce,Sometimes the only way out is to stay in the past.
Zebra in the Kitchen,The crazy day the animals came out to play!,Welcome to the Jungle!
Get Out,"Just because you're invited, doesn't mean you're welcome.",It's not what you think.
The House on Sorority Row,Sorority sisters... Sisters in life. Sisters in death.,It's not Halloween.
Judgment Night,Don't move. Don't whisper. Don't even breathe.,It's not a game.
Kwaidan,"Bizarre, unearthly, terrifying— a nation's legend, an author's imagination, a director's creation manifest in the superlative— Kwaidan",The story of a man who is haunted by the ghost of a woman.
Nearing Grace,What if the one thing you want is the last thing you need?,She's the hottest boy in school.
My Friend Irma Goes West,"You'll Say: ""FUNNIEST"" picture of my Life!","A comedy about love, sex, drugs and guns."
Aftershock,"23 seconds, 32 years.",The most powerful earthquake in the history of the world!
Tommy,Your senses will never be the same.,It's not just a game.
Despicable Me 2,Back 2 Work,They're back!
Jeopardy,"A WOMAN IN ""JEOPARDY""",It's not a beach.
Dirty Mind,The Rise and Fall of Tony T,He's got it all.
Ace Ventura: When Nature Calls,New animals. New adventures. Same hair.,The battle for the heart of the jungle is about to begin.
Honey Night,"political thriller, Macedonia",The Story of Nikola and His Wife Ana
A Town Called Panic,They came… They saw… They panicked..,It's not just a toy.
Society,"In Beverly Hills, what you fear is only the beginning.",It's not what you think it is.
Zaat,Is the monster man... fish... or devil?,The catfish is back!
Andrew Dice Clay: Indestructible,"The ""indestructible"" Andrew Dice Clay is back.",The funniest stand up comedy of the year.
Battle for Terra,Their world is mankind's only hope for survival.,It's not just a planet.
Last Day of Summer,Everybody has a bad day,Sometimes the only way out is to get back in.
Adventures of Kitty O'Day,KITTY CHASES KILLERS...And Gets Her Man! The body was missing...but Kitty was willing!,It's a game of cat and mouse.
That's What I Am,I'm a Teacher. I'm a Singer. I'm a Writer.,It's not what you think it is.
"Me, You, Them",One woman. Four sons. Three fathers. No one said love was simple.,A True Story
Reincarnation,Death Is Only The Beginning,It's not just a movie.
Bare Knuckles,She fought for everything.,The Ultimate Fighting Experience
Lazybones,OWEN DAVIS' NEW YORK STAGE SUCCESS OF A LOVABLE IDLER'S TRIUMPHS!,A fatherless boy.
Stop at Nothing: The Lance Armstrong Story,You think you know this story? You don't.,The greatest lie ever told.
Annie's Point,Life takes a detour.,It's not just a wedding.
Passion in the Desert,"What nature divides, the spirit unites.",The greatest adventure of all time!
Marie Antoinette,Rumor. Scandal. Fame. Revolution.,The true story of the true queen of France.
The Late Bloomer,Based on the (Mostly) True Story of the 30-Year-old Who Just Hit Puberty.,It's not just about sex.
Below Zero,There's nothing scarier than a blank page.,The story of a man trapped in a freezer.
Prom,"There are hundreds of nights in high school, but there’s only one prom.",It's not about the prom.
The Professionals,"Rough, tough and ready.",It's not just a movie.
Captain EO,We are here to change the world!,The story of a man and a woman on a collision course.
Scorched,How many tellers does it take to rob a bank?,Three guys.
The Enforcer,"""If you're smart you'll come down - if you're dumb you'll be dead...""",It's not murder.
The Twilight Saga: Breaking Dawn - Part 2,The epic finale that will live forever,It's time for a new beginning.
Elephant,An ordinary high school day. Except that it's not.,It's not what you think it is.
Tombstone,Justice is coming.,It's not just a town.
Meet the Spartans,"The Bigger the Hit, The Harder They Fall",Meet The Spartans.
Abbott and Costello Meet the Keystone Kops,Slapstick chases!... Pies in faces!... Shapely beauts in bathing suits!,It's not a movie.
Amsterdamned,The danger lies just below the surface,There's only one way out.
The New Guy,A zero will rise.,The funniest movie of the year!
Star Trek II: The Wrath of Khan,At the end of the universe lies the beginning of vengeance.,The greatest adventure of all time!
Budrus,It takes a village to unite the most divided people on earth.,The story of the Palestinian uprising against the occupation.
Tetro,Every family has a secret.,"A story of love, loss, and redemption."
The Charge of the Light Brigade,Theirs is not to reason why...,The Battle of the Bulge
Someone Like You...,The story about the one that got away and the one she never saw coming.,She's got it all.
A Time to Kill,Experience a time you'll never forget.,It's not about the law.
Atlas Shrugged Part I,Who is John Galt?,The story of a woman who fights for the right to live her life without fear.
The Perfect Weapon,No gun. No knife. No equal.,It's not just a fight.
That Man from Rio,Look What They Call a Quiet Week in Rio!,The adventure begins.
The Big Easy,A cop and a lady lawyer caught in an explosive truth of police corruption.,It's not just a crime.
Kevin Hart: Laugh at My Pain,Alright! Alright! Alright!,The funniest comedy show ever made!
The Hobbit: An Unexpected Journey,From the smallest beginnings come the greatest legends.,The greatest adventure of all time!
Talk About a Stranger,It sends chills down your spine!,They're coming for you.
